Sr.No.,District,Taluka,Name of PHC,Vehicle No,Make / Model,Type,Make Year
1,Nagpur,Bhiwapur,Jawali,MH 31 FC 3180,Mahendra Boloro,Ambulance,2019
2,Nagpur,Bhiwapur,Nand,MH 31 FC 5552,Force Traveller,Ambulance,2021
3,Nagpur,Bhiwapur,Somnala,MH 31 FC 8966,Force Traveller,Ambulance,2024
4,Nagpur,Hingna,Raipur,MH 31 FC 8923,Force Traveller,Ambulance,2024
5,Nagpur,Hingna,Taklaghat,MH 31 FC 7467,Force Curzer,Ambulance,2023
6,Nagpur,Hingna,Kanholibara,MH 31 FC 8967,Force Traveller,Ambulance,2024
7,Nagpur,Hingna,Adegaon,MH 31 FC 5462,Force Traveller,Ambulance,2021
8,Nagpur,Kalmeshwar,Dhapewara,MH 31 FC 5423,Mahendra Supro,Ambulance,2021
9,Nagpur,Kalmeshwar,Gondkhairi,MH 31 FC 5468,Force Traveller,Ambulance,2021
10,Nagpur,Kalmeshwar,Mohpa,MH 40 CD 2229,Force Traveller,Ambulance,2021
11,Nagpur,Kalmeshwar,Tishti,MH 40 7971,Tata Sumo,Ambulance,2013
12,Nagpur,Kamptee,Bhugaon,MH 40 CD 2227,Force Traveller,Ambulance,2021
13,Nagpur,Kamptee,Gumthala,MH 31 FC 7465,Force Traveller,Ambulance,2023
14,Nagpur,Kamptee,Gumathi,MH 31 FC 8925,Force Traveller,Ambulance,2024
15,Nagpur,Katol,Kacharisawanga,MH 31 FC 8926,Force Traveller,Ambulance,2024
16,Nagpur,Katol,Kondhali,MH 31 FC 7466,Force Curzer,Ambulance,2023
17,Nagpur,Katol,Zilpah,MH 40 7963,Tata Sumo,Ambulance,2013
18,Nagpur,Katol,Bhorgarh,MH 40 7970,Tata Sumo,Ambulance,2013
19,Nagpur,Katol,Yenwa,MH 31 FC 5464,Force Traveller,Ambulance,2021
20,Nagpur,Kuhi,Mandal,MH 31 FC 5549,Force Traveller,Ambulance,2021
21,Nagpur,Kuhi,Salwa,MH 31 FC 8969,Force Traveller,Ambulance,2024
22,Nagpur,Kuhi,Titur,MH 31 FC 8968,Force Traveller,Ambulance,2024
23,Nagpur,Kuhi,Veltur,MH 31 FC 5547,Force Traveller,Ambulance,2021
24,Nagpur,Mouda,Dhanla,MH 40 CD 2162,Force Traveller,Ambulance,2021
25,Nagpur,Mouda,Chirva,MH 40 BL 7085,Tata Winger,Ambulance,2019
26,Nagpur,Mouda,Khat,MH 40 FC 4832,Mahendra Boloro,Ambulance,2019
27,Nagpur,Mouda,Kodamendhi,MH 31 FC 3381,Mahendra Boloro,Ambulance,2019
28,Nagpur,Mouda,Tarsa,MH 31 FC 5466,Force Traveller,Ambulance,2021
29,Nagpur,Nagpur,Borkhedi,MH 31 FC 8970,Force Traveller,Ambulance,2024
30,Nagpur,Nagpur,Salai Godhni,MH 40 CD 2231,Force Traveller,Ambulance,2021
